"id","amount","length","frequency","grade"
1,250000,18,"Catorcenal","F"
2,135000,18,"Semanal","E"
3,50000,12,"Semanal","E"
4,150000,18,"Mensual","C"
5,250000,18,"Mensual","F"
6,90000,18,"Semanal","F"
7,170000,12,"Mensual","E"
8,110000,18,"Mensual","E"
9,250000,18,"Mensual","C"
10,130000,18,"Mensual","B"
11,85000,18,"Mensual","E"
12,60000,18,"Mensual","A"
13,245000,18,"Mensual","E"
14,110000,18,"Mensual","D"
15,115000,18,"Semanal","D"
16,125000,18,"Semanal","B"
17,210000,18,"Mensual","E"
18,250000,18,"Mensual","B"
19,195000,18,"Mensual","C"
20,135000,18,"Catorcenal","E"
21,135000,18,"Semanal","A"
22,170000,18,"Catorcenal","D"
23,90000,12,"Semanal","A"
24,250000,18,"Mensual","C"
25,80000,6,"Mensual","A"
26,225000,6,"Mensual","E"
27,165000,18,"Mensual","E"
28,185000,12,"Mensual","C"
29,115000,18,"Mensual","D"
30,215000,18,"Mensual","C"
31,250000,18,"Mensual","F"
32,165000,12,"Mensual","E"
33,125000,18,"Mensual","B"
34,185000,18,"Mensual","D"
35,175000,6,"Mensual","F"
36,165000,12,"Mensual","D"
37,75000,18,"Mensual","E"
38,150000,18,"Mensual","D"
39,250000,6,"Catorcenal","F"
40,95000,6,"Semanal","B"
41,125000,18,"Semanal","D"
42,160000,12,"Mensual","E"
43,250000,12,"Mensual","B"
44,110000,18,"Catorcenal","B"
45,55000,18,"Mensual","F"
46,205000,18,"Catorcenal","D"
47,170000,12,"Mensual","F"
48,250000,18,"Catorcenal","B"
49,135000,12,"Mensual","E"
50,95000,18,"Catorcenal","C"
51,230000,12,"Mensual","C"
52,130000,12,"Mensual","D"
53,130000,12,"Catorcenal","E"
54,250000,18,"Mensual","E"
55,1e+05,18,"Mensual","C"
56,145000,18,"Mensual","C"
57,205000,18,"Mensual","C"
58,135000,12,"Mensual","C"
59,55000,18,"Mensual","D"
60,230000,6,"Mensual","D"
61,195000,18,"Mensual","E"
62,150000,18,"Mensual","E"
63,130000,18,"Mensual","E"
64,1e+05,18,"Mensual","E"
65,250000,18,"Mensual","D"
66,135000,18,"Mensual","F"
67,75000,18,"Semanal","E"
68,140000,18,"Mensual","E"
69,135000,12,"Mensual","C"
70,65000,18,"Mensual","D"
71,150000,6,"Catorcenal","D"
72,190000,18,"Mensual","F"
73,50000,18,"Mensual","E"
74,60000,18,"Mensual","E"
75,130000,6,"Catorcenal","F"
76,230000,18,"Mensual","E"
77,125000,6,"Catorcenal","D"
78,95000,12,"Semanal","C"
79,115000,18,"Mensual","F"
80,175000,12,"Mensual","D"
81,250000,18,"Mensual","D"
82,60000,12,"Mensual","E"
83,210000,6,"Mensual","E"
84,55000,18,"Mensual","C"
85,95000,18,"Mensual","D"
86,190000,6,"Mensual","C"
87,240000,6,"Mensual","E"
88,2e+05,18,"Mensual","A"
89,50000,18,"Mensual","D"
90,95000,18,"Semanal","E"
91,65000,6,"Mensual","E"
92,125000,18,"Mensual","D"
93,110000,12,"Mensual","C"
94,245000,18,"Mensual","E"
95,2e+05,6,"Mensual","C"
96,155000,18,"Catorcenal","E"
97,180000,18,"Mensual","E"
